content,sentiment,processed
Bún đậu quá đỉnh mỗi tội hơi ít ăn xong vẫn thèm,pos,bún đậu đỉnh tội hơi xong thèm
ngon lắm ạ.,pos,ngon lắm
ngon bổ rẻ,pos,ngon bổ rẻ
Chỗ này bán mì cay vẫn là ngon nhất😝,pos,chỗ mì cay ngon 😝
"Quá ngon luôn á :'))) mà nên gọi cơm thêm tại cơm hơi ít, gì cũng ngon. Sạch sẽ quá trời",pos,ngon vui gọi cơm cơm hơi ngon sạch_sẽ trời
phục vụ rất tốt,pos,phục_vụ tốt
Rất tuyệt vời,pos,tuyệt_vời
nước lèo ngon,pos,nước_lèo ngon
"Ngon bổ rẻ,Mỳ ăn cực ngon nhé mọi người",pos,ngon bổ rẻ mỳ cực ngon
bánh tráng ngon,pos,bánh_tráng ngon
"sữa chua ngon, sốt matcha ở đây siêu nhiều luôn. Chu đáo khi cho thêm khăn giấy",pos,sữa_chua ngon sốt matcha siêu chu_đáo khăn giấy
Quá tuyệt vời mà lỡ ăn hết rồi quên chụp rồi,pos,tuyệt_vời lỡ quên chụp
oke. giao hàng nhanh,pos,oke giao hàng
Mua được mã giảm giá nhưng rất là oki.... quên chụp hình,pos,mua mã giảm_giá oki quên chụp hình
"Nhưng hôm nay trà táo không ngon như hôm qua uống ké của đứa em 🥲
Chắc do hàng uống ké nó ngon hơn 🤣🤣🤣🤣🤣",pos,hôm_nay trà táo không ngon hôm_qua uống ké đứa 🥲 hàng uống ké ngon 🤣
ngon chết đi được tuyệt vời ngon lại rẻ nữa mỗi tội hơi ít cơm,pos,ngon chết đi tuyệt_vời ngon rẻ tội hơi cơm
bún thịt nướng ngon,pos,bún thịt nướng ngon
"Sạch sẽ, ngon, có cả dưa cải chua ngọt. Mình sẽ ủng hộ tiếp",pos,sạch_sẽ ngon dưa cải chua_ngọt ủng_hộ tiếp
Rất ngon và hài lòng,pos,ngon hài_lòng
Cơm ngon ạ,pos,cơm ngon
Trà rất ngon nè,pos,trà ngon nè
Ngon lắm ạ. Ăn no luôn. 😛 Trời nóng này ăn là hợp lý. Sẽ ủng hộ quán dài dài 😍😍,pos,ngon lắm no 😛 trời nóng hợp_lý ủng_hộ quán dài_dài 😍 😍
"Bánh nhiều nhưng là bánh không nhân thịt, nước chấm cho nhiều hơn các hàng khác.",pos,bánh bánh không nhân thịt nước_chấm hàng khác
"trà sữa có vị mặn nhẹ,mình rất thích",pos,trà sữa vị mặn nhẹ
"Nhìn vậy chứ chan mắm vô ăn ngon, thịt nướng mềm, dễ ăn, nhưng hơi ớn vì nhiều thịt quá",pos,chan mắm vô ngon thịt nướng mềm hơi ớn thịt
"ngon,béo, trân châu ngon. Mn nên đặt nha",pos,ngon béo trân_châu ngon mn nha
em uống đây nhiều lần rùi ạ trà sữa rất ngon lun,pos,uống rùi trà sữa ngon lun
rất nhiệt tình,pos,nhiệt_tình
"Giao hàng nhanh, ăn ngon, khẩu phần ăn nhiều, no bụng nha.",pos,giao hàng ngon khẩu_phần no bụng nha
Cơm chiên dương châu ngon,pos,cơm_chiên dương châu ngon
Chưa uống nhưng nhìn cũng ngon ngon,pos,uống ngon ngon
trà sữa ngon tuyệt.,pos,trà sữa ngon tuyệt
Ngon lắm ạ,pos,ngon lắm
trà sữa ngon,pos,trà sữa ngon
"cơm ngon, gà nêm vừa vặn.",pos,cơm ngon gà nêm vừa_vặn
rất ngon ạ,pos,ngon
Bánh mì ngon,pos,bánh_mì ngon
Ngon ngon ngon.Cái nào quan trọng mình nhấn mạnh 3 lần 🤣🤣,pos,ngon ngon ngon quan_trọng nhấn_mạnh 3 🤣 🤣
quán giao hàng nhanh,pos,quán giao hàng
